county,"Black, Non-Hispanic","American Indian/Alaska Native, Non-Hispanic","Asian, Non-Hispanic","Native Hawaiian/Other Pacific Islander, Non-Hispanic","White, Non-Hispanic"
Alameda,171518,17973,529210,15870,517970
Alpine,1,263,22,0,706
Amador,989,913,685,104,30485
Butte,3546,5728,11435,662,165658
Calaveras,376,884,791,115,36800
Colusa,207,600,357,128,7425
Contra Costa,100415,11706,207246,6723,497460
Del Norte,916,2594,875,55,17356
El Dorado,1697,2542,8961,433,147978
Fresno,46131,29536,109851,2739,288757
Glenn,236,886,870,51,14235
Humboldt,1650,8614,3899,456,101099
Imperial,4510,4548,3887,365,18828
Inyo,173,2426,296,30,11110
Kern,46686,23649,48101,2531,300436
Kings,9286,4803,6836,525,48089
Lake,1133,2830,887,199,44863
Lassen,2419,1315,478,278,20054
Los Angeles,804853,145254,1551894,37200,2639358
Madera,5177,6978,3927,461,53078
Marin,6529,2558,16847,688,185544
Mariposa,202,594,301,34,13920
Mendocino,673,5537,1945,220,56655
Merced,8178,6913,21743,1053,74569
Modoc,90,439,113,29,6817
Mono,102,426,314,48,9306
Monterey,11127,11351,29494,2682,128781
Napa,2877,1745,12240,567,72552
Nevada,492,1260,1417,199,84666
Orange,52262,32905,681242,12403,1278479
Placer,6441,4210,31619,1044,283300
Plumas,179,591,219,28,15681
Riverside,151336,46871,173695,11005,850637
Sacramento,150462,23734,260762,19726,681438
San Benito,539,1896,2222,269,20609
San Bernardino,176846,44935,168410,10339,606760
San Diego,157236,44035,420909,19678,1511342
San Francisco,44468,6570,317204,4015,356174
San Joaquin,53488,14881,128220,6012,233639
San Luis Obispo,4963,3980,11330,530,194863
San Mateo,17394,6766,231957,11600,299494
Santa Barbara,7973,9618,26926,1139,196766
Santa Clara,45688,23245,742295,8965,601604
Santa Cruz,2665,5092,14226,549,155932
Shasta,1892,5702,5545,399,143235
Sierra,15,75,22,4,2474
Siskiyou,589,2226,688,154,33088
Solano,61398,5677,72129,4549,168058
Sonoma,8012,10951,22794,2025,315676
Stanislaus,14589,10916,33424,5073,226180
Sutter,2101,2282,16450,392,43861
Tehama,467,2145,912,144,43198
Trinity,64,654,180,28,10254
Tulare,5753,12876,18593,1077,130825
Tuolumne,1019,1256,759,157,43513
Ventura,15031,15895,66975,2464,382622
Yolo,5461,3947,33107,1263,101944
Yuba,2754,2280,5864,396,42407
